0,1,2,target
72,82,1,(-0.184031143784523+0.010715916752815247j)
72,82,1,(-0.18486779928207397+0.01438143476843834j)
72,82,1,(-0.13103608787059784+0.13237611949443817j)
72,82,1,(-0.20024700462818146+0.04374665394425392j)
72,82,1,(-0.22007101774215698+0.02335113286972046j)
72,82,1,(-0.13277576863765717+0.025830013677477837j)
72,82,1,(-0.11879447102546692+0.06827446818351746j)
72,82,1,(-0.1730039119720459+0.030777227133512497j)
72,82,1,(-0.15474119782447815+0.04251930117607117j)
72,82,1,(-0.16568711400032043+0.03839736431837082j)
72,82,1,(-0.13854388892650604+0.10418277233839035j)
72,82,1,(-0.1591017097234726-0.0016289083287119865j)
72,82,1,(-0.21777965128421783+0.03882644698023796j)
72,82,1,(-0.180399090051651+0.08308611065149307j)
72,82,1,(-0.13766737282276154+0.009862832725048065j)
72,82,1,(-0.18481872975826263+0.009072783403098583j)
72,82,1,(-0.08172283321619034+0.0668429359793663j)
72,82,1,(-0.13754494488239288+0.042274344712495804j)
72,82,1,(-0.1962207853794098+0.01463228464126587j)
72,82,1,(-0.1479879766702652+0.050523992627859116j)
72,82,1,(-0.1799372434616089+0.041542425751686096j)
72,82,1,(-0.1808176338672638+0.011407425627112389j)
72,82,1,(-0.19430069625377655+0.040850479155778885j)
72,82,1,(-0.20090347528457642+0.05225861072540283j)
12,0,1,(-0.041186366230249405+0.13221003115177155j)
12,0,1,(-0.10846534371376038+0.10448558628559113j)
12,0,1,(0.012553215026855469-0.015466105192899704j)
12,0,1,(-0.04064810648560524-0.10343950986862183j)
12,0,1,(-0.11694862693548203-0.11333297193050385j)
12,0,1,(-0.006141401827335358-0.010480314493179321j)
12,0,1,(0.09345518052577972-0.06472022831439972j)
12,0,1,(0.07666925340890884+0.08582817018032074j)
12,0,1,(0.19621309638023376+0.03798573464155197j)
12,0,1,(-0.0025485511869192123+0.034803539514541626j)
12,0,1,(-0.011712883599102497+0.021782658994197845j)
12,0,1,(0.07537984848022461+0.17374074459075928j)
12,0,1,(0.2284146547317505+0.03978687897324562j)
12,0,1,(0.2785145938396454+0.12906496226787567j)
12,0,1,(0.17697203159332275-0.0029069893062114716j)
12,0,1,(0.0044244155287742615-0.14750199019908905j)
12,0,1,(0.07800772786140442-0.007279351353645325j)
12,0,1,(-0.026039043441414833+0.13537679612636566j)
12,0,1,(0.02003573253750801-0.029209155589342117j)
12,0,1,(-0.10198831558227539+0.002684749662876129j)
12,0,1,(-0.08493515849113464+0.2465326189994812j)
12,0,1,(0.137087881565094+0.049529124051332474j)
12,0,1,(-0.28729045391082764+0.12830063700675964j)
12,0,1,(0.042989522218704224-0.05612175166606903j)
12,0,1,(-0.04215264320373535+0.06769772619009018j)
12,0,1,(-0.044797852635383606+0.08171825855970383j)
12,0,1,(-0.15874426066875458-0.15721213817596436j)
12,0,1,(0.058079879730939865-0.09940160810947418j)
12,0,1,(-0.012110002338886261-0.017076117917895317j)
12,0,1,(0.17841298878192902-0.0090975696220994j)
12,0,1,(0.29281461238861084+0.026504650712013245j)
12,0,1,(-0.14698776602745056+0.025993745774030685j)
12,0,1,(-0.05665921792387962+0.08299610018730164j)
12,0,1,(0.13524512946605682+0.04290236905217171j)
12,0,1,(0.07165422290563583-0.0028535909950733185j)
12,0,1,(0.2852391004562378+0.06760650128126144j)
12,0,1,(-0.1832398921251297-0.019596030935645103j)
12,0,1,(-0.029612362384796143+0.1791137307882309j)
12,0,1,(0.106749027967453-0.1554468274116516j)
12,0,1,(0.042313821613788605+0.09139084815979004j)
88,54,1,(-0.07386720925569534+0.13187561929225922j)
88,54,1,(-0.15977761149406433+0.04106111079454422j)
88,54,1,(-0.09913072735071182+0.01596800982952118j)
